food,safe_alternative,reason
misal pav,stir-fried veggies,stir-fried veggies is higher in fiber which improves satiety compared to misal pav.
kathi roll,vegetable soup,vegetable soup is fermented or dairy option aids digestion compared to kathi roll.
loaded sev,green tea,green tea is reduced oil and lighter on the stomach compared to loaded sev.
kachori,baked sweet potato,baked sweet potato is reduced oil and lighter on the stomach compared to kachori.
masala bhel puri,tandoori chicken,tandoori chicken is lower sodium content supports heart health compared to masala bhel puri.
barfi,unsweetened tofu stir-fry,unsweetened tofu stir-fry is reduced oil and lighter on the stomach compared to barfi.
maggi noodles,grilled chicken,grilled chicken is lower sodium content supports heart health compared to maggi noodles.
large paneer butter masala,fruit salad,fruit salad is higher in fiber which improves satiety compared to large paneer butter masala.
masala burger,sweet potato chaat,sweet potato chaat is contains more protein to keep you full compared to masala burger.
small veg biryani,light poha (less oil),light poha (less oil) is reduced oil and lighter on the stomach compared to small veg biryani.
noodles,coconut water,coconut water is lower sodium content supports heart health compared to noodles.
double sweet lassi,plain nuts mix (unsalted),plain nuts mix (unsalted) is whole grains provide sustained energy compared to double sweet lassi.
halwa,sauteed greens,sauteed greens is higher in fiber which improves satiety compared to halwa.
fish and chips,no butter oats dosa,no butter oats dosa is lower in saturated fat and calories compared to fish and chips.
paneer tikka pizza,greek yogurt,greek yogurt is less sugar and better for blood glucose control compared to paneer tikka pizza.
double maggi noodles,low-oil vegetable khichdi,low-oil vegetable khichdi is lower sodium content supports heart health compared to double maggi noodles.
brownie,plain khichdi,plain khichdi is lower sodium content supports heart health compared to brownie.
chicken nuggets,plain dal fry (less oil),plain dal fry (less oil) is lower in saturated fat and calories compared to chicken nuggets.
french fries,baked samosa,baked samosa is less sugar and better for blood glucose control compared to french fries.
cola,baked fish,baked fish is lower sodium content supports heart health compared to cola.
large mutton biryani,low-oil tofu tikka,low-oil tofu tikka is less sugar and better for blood glucose control compared to large mutton biryani.
regular peda,low-oil dal fry (less oil),low-oil dal fry (less oil) is lower sodium content supports heart health compared to regular peda.
large manchurian,low-fat yogurt,low-fat yogurt is lower sodium content supports heart health compared to large manchurian.
family pack cold coffee,poha (less oil),poha (less oil) is whole grains provide sustained energy compared to family pack cold coffee.
small doughnut,grilled chicken,grilled chicken is lower sodium content supports heart health compared to small doughnut.
laddu,air-popped popcorn,air-popped popcorn is higher in fiber which improves satiety compared to laddu.
jalebi,unsweetened paneer tikka,unsweetened paneer tikka is whole grains provide sustained energy compared to jalebi.
white bread,buttermilk,buttermilk is whole grains provide sustained energy compared to white bread.
pav bhaji,fruit salad,fruit salad is baked or steamed instead of deep-fried compared to pav bhaji.
garlic manchurian,air-popped popcorn,air-popped popcorn is includes more vegetables and micronutrients compared to garlic manchurian.
garlic bread,grilled quinoa,grilled quinoa is reduced oil and lighter on the stomach compared to garlic bread.
laddu,baked chaas,baked chaas is whole grains provide sustained energy compared to laddu.
rasgulla,low-oil chaas,low-oil chaas is reduced oil and lighter on the stomach compared to rasgulla.
family pack chicken nuggets,no sugar quinoa,no sugar quinoa is less sugar and better for blood glucose control compared to family pack chicken nuggets.
black forest cake,baked fish,baked fish is higher in fiber which improves satiety compared to black forest cake.
masala chole bhature,hand-pounded rice,hand-pounded rice is lower sodium content supports heart health compared to masala chole bhature.
sev puri,roasted veggies,roasted veggies is includes more vegetables and micronutrients compared to sev puri.
manchurian,greek yogurt,greek yogurt is less sugar and better for blood glucose control compared to manchurian.
small manchurian,no sugar hand-pounded rice,no sugar hand-pounded rice is contains more protein to keep you full compared to small manchurian.
loaded popcorn butter,cucumber salad,cucumber salad is reduced oil and lighter on the stomach compared to loaded popcorn butter.
chips,greek yogurt,greek yogurt is baked or steamed instead of deep-fried compared to chips.
large vada pav,baked dal tadka,baked dal tadka is reduced oil and lighter on the stomach compared to large vada pav.
chicken biryani,ragi dosa,ragi dosa is higher in fiber which improves satiety compared to chicken biryani.
nachos,homestyle multigrain roti,homestyle multigrain roti is baked or steamed instead of deep-fried compared to nachos.
vada pav,unsweetened steamed idli,unsweetened steamed idli is less sugar and better for blood glucose control compared to vada pav.
extra cheese fried rice,no butter oats upma,no butter oats upma is whole grains provide sustained energy compared to extra cheese fried rice.
sweet lassi,low-oil moong chilla,low-oil moong chilla is lower sodium content supports heart health compared to sweet lassi.
bhatura,no sugar plain khichdi,no sugar plain khichdi is contains more protein to keep you full compared to bhatura.
spicy pizza,low-fat yogurt,low-fat yogurt is lower in saturated fat and calories compared to spicy pizza.
butter misal pav,stir-fried veggies,stir-fried veggies is reduced oil and lighter on the stomach compared to butter misal pav.
masala falooda,plain air-popped popcorn,plain air-popped popcorn is lower sodium content supports heart health compared to masala falooda.
butter chicken,grilled fish,grilled fish is higher in fiber which improves satiety compared to butter chicken.
double loaded fries,plain dark chocolate (small piece),plain dark chocolate (small piece) is less sugar and better for blood glucose control compared to double loaded fries.
sev,stir-fried veggies,stir-fried veggies is reduced oil and lighter on the stomach compared to sev.
laddu,roasted chana,roasted chana is fermented or dairy option aids digestion compared to laddu.
garlic bread,sattu drink (unsweetened),sattu drink (unsweetened) is fermented or dairy option aids digestion compared to garlic bread.
misal pav,cucumber salad,cucumber salad is baked or steamed instead of deep-fried compared to misal pav.
kulcha,low-oil plain dosa,low-oil plain dosa is higher in fiber which improves satiety compared to kulcha.
brownie sundae,tofu tikka,tofu tikka is higher in fiber which improves satiety compared to brownie sundae.
samosa,steamed tofu tikka,steamed tofu tikka is lower in saturated fat and calories compared to samosa.
brownie sundae,sauteed greens,sauteed greens is higher in fiber which improves satiety compared to brownie sundae.
regular popcorn butter,grilled sweet potato chaat,grilled sweet potato chaat is includes more vegetables and micronutrients compared to regular popcorn butter.
milkshake,quinoa,quinoa is lower in saturated fat and calories compared to milkshake.
cake,unsweetened air-popped popcorn,unsweetened air-popped popcorn is higher in fiber which improves satiety compared to cake.
fish and chips,steamed idli,steamed idli is lower in saturated fat and calories compared to fish and chips.
hakka noodles,baked phulka (no oil),baked phulka (no oil) is fermented or dairy option aids digestion compared to hakka noodles.
sugarcane juice,baked samosa,baked samosa is whole grains provide sustained energy compared to sugarcane juice.
shawarma,greek yogurt,greek yogurt is lower in saturated fat and calories compared to shawarma.
